modo_transporte,tipo_combustible,valor
Water,Liquified_petroleum_gas_2015,0
Pipeline,Liquified_petroleum_gas_2015,0
Rail,Liquified_petroleum_gas_2015,0
HIGHWAY ,Jet_fuel_2015,0
Light vehicles,Jet_fuel_2015,0
Buses,Jet_fuel_2015,0
Medium/heavy trucks,Jet_fuel_2015,0
NONHIGHWAY,Jet_fuel_2015,2095.6
Air,Jet_fuel_2015,2095.6
Water,Jet_fuel_2015,0
Pipeline,Jet_fuel_2015,0
Rail,Jet_fuel_2015,0
HIGHWAY ,Residual_fuel_oil_2015,0
Light vehicles,Residual_fuel_oil_2015,0
Buses,Residual_fuel_oil_2015,0
Medium/heavy trucks,Residual_fuel_oil_2015,0
NONHIGHWAY,Residual_fuel_oil_2015,464.6
Air,Residual_fuel_oil_2015,0
Water,Residual_fuel_oil_2015,464.6
Pipeline,Residual_fuel_oil_2015,0
Rail,Residual_fuel_oil_2015,0
HIGHWAY ,Natural_gas_2015,21.9
Light vehicles,Natural_gas_2015,0
Buses,Natural_gas_2015,21.9
Medium/heavy trucks,Natural_gas_2015,0
NONHIGHWAY,Natural_gas_2015,686.9
Air,Natural_gas_2015,0
Water,Natural_gas_2015,0
Pipeline,Natural_gas_2015,686.9
Rail,Natural_gas_2015,0
HIGHWAY ,Electricity_2015,3.7
Light vehicles,Electricity_2015,3.4
Buses,Electricity_2015,0.3
Medium/heavy trucks,Electricity_2015,0
NONHIGHWAY,Electricity_2015,104.2
Air,Electricity_2015,0
Water,Electricity_2015,0
Pipeline,Electricity_2015,80.3
Rail,Electricity_2015,24
HIGHWAY ,Total_2015,21386.3
Light vehicles,Total_2015,15200.1
Buses,Total_2015,202.7
Medium/heavy trucks,Total_2015,5983.6
NONHIGHWAY,Total_2015,4493.2
Air,Total_2015,2117.7
Water,Total_2015,1045.6
Pipeline,Total_2015,767.1
Rail,Total_2015,562.8
HIGHWAY ,Gasoline_2016,15650.2
Light vehicles,Gasoline_2016,15023.9
Buses,Gasoline_2016,8.9
Medium/heavy trucks,Gasoline_2016,617.3
NONHIGHWAY,Gasoline_2016,214.8
Air,Gasoline_2016,22.6
Water,Gasoline_2016,192.2
Pipeline,Gasoline_2016,0
Rail,Gasoline_2016,0
HIGHWAY ,Diesel_fuel_2016,6121
Light vehicles,Diesel_fuel_2016,443.2
Buses,Diesel_fuel_2016,173.4
Medium/heavy trucks,Diesel_fuel_2016,5504.4
NONHIGHWAY,Diesel_fuel_2016,830.8
Air,Diesel_fuel_2016,0
Water,Diesel_fuel_2016,334
Pipeline,Diesel_fuel_2016,0
Rail,Diesel_fuel_2016,496.5
HIGHWAY ,Liquified_petroleum_gas_2016,74.5
Light vehicles,Liquified_petroleum_gas_2016,53.4
Buses,Liquified_petroleum_gas_2016,0.6
Medium/heavy trucks,Liquified_petroleum_gas_2016,20.5
NONHIGHWAY,Liquified_petroleum_gas_2016,0
Air,Liquified_petroleum_gas_2016,0
Water,Liquified_petroleum_gas_2016,0
Pipeline,Liquified_petroleum_gas_2016,0
Rail,Liquified_petroleum_gas_2016,0
HIGHWAY ,Jet_fuel_2016,0
Light vehicles,Jet_fuel_2016,0
Buses,Jet_fuel_2016,0
Medium/heavy trucks,Jet_fuel_2016,0
NONHIGHWAY,Jet_fuel_2016,2155.5
Air,Jet_fuel_2016,2155.5
Water,Jet_fuel_2016,0
Pipeline,Jet_fuel_2016,0
Rail,Jet_fuel_2016,0
